text,label,notes,source
"As an OKC fan it was always my biggest concern because if you ever watched OKC in the non Shai minutes it got brutal sometimes lmao. I remember we played the Wolves late in the season (after the trade deadline) and were up 20 going into the 4th, and the Wolves came back and won in OT (with ANT on the bench basically",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"As a Wolves fan, I thought that ANT would bust and LaMelo would wind up just being mediocre so I wanted my team to trade down in the 2020 Draft for Haliburton. Glad I wasn’t the GM at the time because being sorta right about Hali and LaMelo did not outweigh how ridiculously wrong I was about Edwards.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
Smart was never gonna win a title with this iteration of the Celtics. He needed to go in order for Tatum and Brown to fully develop mentally into the leaders of the team. Smart was always gonna be their “big bro” who thought he needed the ball in crunch time as long as he was there.,analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
yeah i saw a stat that showed that a team hadn't won a chip with one guy having as high of a USG rate as shai did last year since prime MJ or something. i thought they were one shai cold stretch or a tweaked groin or something away from falling apart offensively.,analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
I thought the Celtics made a huge mistake trading Smart and keeping Brown. Thought they could have gotten a really good player for him and Smart was a big role player for the team. Then they go and win a Chip with him as Finals MVP. Don’t let me be GM ever.,analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"That’s one of the few I was spot on about. Even in the midst of his breakout, while I was thrilled about it as a Warriors fan, I felt like he was overrated and played “me first” basketball in a way that projected better as a 6th man than a future star.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"He is better than I expected. I'm still highly dubious of the idea that he might be one of the best players on a contender, but he's got otherworldly talent. There's no denying he has beyond NBA-level tools, especially when it comes to his court vision. That's just off the charts.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
Apparently he really fucking sucks because it took me like 6 minutes of going through his accusations to even find the baby one. He's accused of getting his infant daughter high on marijuana along with quite a history with not being nice to women in general. Fuck that dude,analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"After our finals appearance, I thought Ayton was the 3rd best pure center in the league after Jokic & Embiid (I think of tall skinny guys like AD as PF). I still think he has the skills and physical tools, he just doesn't have the mental for it.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
"Back when dinosaurs roamed the earth and MJ decided to prop up his Wizards investment by signing up to play, I thought that the trade for Jerry Stackhouse with the combination of Kwame Brown and other fools would win them at the least an ECF title.",analysis,Explains the reasoning or context behind the take,r/nba - What hot takes are you willing to admit you were wrong about?
